potencia_x,potencia_y,potencia_z,potencia_total_xyz
0.000281590733945557,0.000726375608167746,0.000703131766530096,0.0017110981086434
0.000200837682894503,0.000375647256711776,0.000368190417965974,0.000944675357572253
0.000240045266886285,0.000237197847809214,0.000146212551508757,0.000623455666204256
0.00033427236969259,0.000585954862294751,0.000260641786132344,0.00118086901811968
0.000207580650936295,0.000365791747569409,0.000193359552904207,0.000766731951409912
5.94304532166777e-05,7.42454804394501e-05,0.000104651496822443,0.00023832743047857
7.31908569394966e-05,7.21699152177288e-05,9.69160224391798e-05,0.000242276794596405
9.08741413360106e-05,0.000111416486721072,0.00012997207292161,0.000332262700978693
9.66442206602546e-05,0.000104374403376109,0.000120861383482586,0.00032188000751895
0.000126214474320655,0.000158252250967331,0.000108645079493641,0.000393111804781627
8.03601858912124e-05,0.000111754172465098,0.000102203066424616,0.000294317424780927
0.000120177397797314,0.000238779397618695,0.000141509415579788,0.000500466210995796
2.10521020825675e-05,1.1148262677636e-05,2.8651429065426e-05,6.08517938256295e-05
4.14968513865878e-05,1.83875043225086e-05,3.34867518449196e-05,9.3371107554016e-05
0.000722034298237624,0.00136104788337451,0.000723667691134341,0.00280674987274648
0.000522261766688159,0.00127535816730632,0.000816221967441919,0.0026138419014364
0.000551234743344232,0.00185255790415299,0.000818466523132292,0.00322225917062952
0.000202332819134982,0.00042931713309714,0.000294565135870405,0.000926215088102528
0.000250425032247623,0.000407544932689875,0.000264397070930365,0.000922367035867862
0.000825384622818387,0.00294448555797375,0.00084851390003271,0.00461838408082484
0.000824658930390096,0.00291438721226566,0.000726686041931051,0.00446573218458681
0.000874613745961892,0.00378487341792536,0.000821777329184554,0.00548126449307181
0.000334990947183483,0.000897378911473303,0.000404575144082611,0.0016369450027394
0.000642020810682499,0.00212418473885655,0.00103031801650384,0.00379652356604289
0.000185032229061859,0.000575919808242843,0.000299777329401233,0.00106072936670594
5.78767606652727e-05,4.76609131596752e-05,9.74108775054091e-05,0.000202948551330357
2.58128325277981e-05,1.69975636940611e-05,5.23469376771181e-05,9.51573338989773e-05
2.44422946107271e-05,1.29793379145211e-05,4.4014976398289e-05,8.14366089235372e-05
0.000153758400354293,0.000105647050801937,0.000140811072928862,0.000400216524085092
9.68560209334299e-05,0.000201966909978926,0.000122129505038006,0.000420952435950362
0.000145455364679395,0.000359527884894366,0.000157900733756634,0.000662883983330396
0.000318021281640758,0.00100573089363681,0.000403137166758043,0.00172688934203561
0.000145607298835705,0.000394269848323192,0.00017392721362112,0.000713804360780017
0.000104503795813004,0.000215578279912012,0.000166292083871795,0.000486374159596812
8.74963586758664e-05,0.000205186977689007,0.000133732141794945,0.000426415478159819
1.97848812503189e-05,3.53280821780379e-05,4.04757229364207e-05,9.55886863647775e-05
9.8390487820142e-05,0.00023971486600903,0.000128714419734596,0.000466819773563768
3.77658482237331e-05,5.33860747067413e-05,7.10876683230117e-05,0.000162239591253486
1.83318388447731e-05,3.31278666610115e-05,3.60658540542835e-05,8.75255595600681e-05
3.74038391276044e-05,3.22995782261965e-05,3.61318330347665e-05,0.000105835250388567
6.80022543733738e-05,8.03054161253463e-05,6.45003673180987e-05,0.000212808037816819
3.15675171821799e-05,6.42172347903356e-05,4.05478119653831e-05,0.000136332563937899
7.27349276169931e-05,0.000180308367722111,7.22793766369855e-05,0.00032532267197609
1.15478268104846e-05,8.63659987418119e-06,2.69812606373997e-05,4.71656873220656e-05
0.000142625015464729,0.000405575564447138,0.000144048202058304,0.000692248781970171
2.08756811502355e-05,2.90235546286075e-05,3.6464305591988e-05,8.63635413708309e-05
1.98978149453335e-05,3.24195467208287e-05,3.62606821366685e-05,8.85780438028306e-05
1.26227096184137e-05,6.92735759697148e-06,2.16528359176278e-05,4.1202903133013e-05
0.000182229715412271,0.000330040641637955,0.000159631716086095,0.000671902073136321
0.000263099663237263,0.000723353707866193,0.000370146263762572,0.00135659963486603
8.77110764625696e-05,0.000158000582066844,0.000109192965259743,0.000354904623789157
9.50642897737499e-06,6.43260793191448e-06,2.57704994542171e-05,4.17095363635066e-05
9.94159848232779e-06,7.20263334057275e-06,2.82970095541625e-05,4.5441241377063e-05
1.06782945766136e-05,7.03130843693918e-06,2.62404533423834e-05,4.39500563559361e-05
9.71805168236308e-06,6.14862180111926e-06,2.93047570991899e-05,4.51714305826722e-05
9.09738027148138e-06,6.73667113762056e-06,2.33240248075963e-05,3.91580762166982e-05
7.14354026220696e-06,5.76505525200293e-06,2.14651989256577e-05,3.43737944398675e-05
1.38762904180451e-05,1.99839979082601e-05,2.92997889641285e-05,6.31600772904337e-05
5.33894592198384e-05,6.27120118371107e-05,5.63030112651604e-05,0.00017240448232211
4.1393958713428e-05,7.84740965574778e-05,5.34320171855334e-05,0.000173300072456439
3.68965291443457e-05,5.77748000573074e-05,4.32910302089474e-05,0.0001379623594106
1.90392698640613e-05,9.60816896635621e-06,3.09622457789374e-05,5.96096846093549e-05
4.35026040627442e-05,5.90243991376322e-05,5.74166362913922e-05,0.000159943639491769
0.000615790359792595,0.000350056331139253,0.000387325706676738,0.00135317239760859
6.16577818262062e-05,0.000140562131723333,9.08031301354991e-05,0.000293023043685038
9.6984709263343e-06,7.62509981263957e-06,3.02243770063296e-05,4.75479477453034e-05
0.00017628478294242,0.00036573319799813,0.000267572409140342,0.000809590390080893
0.000625607106689546,0.00228802127226918,0.00100263455825272,0.00391626293721145
0.000246996267791468,0.00115634597322843,0.000427354010042452,0.00183069625106235
0.000404495628439478,0.00108450884080863,0.000486611290407228,0.00197561575965534
0.00016394110728675,0.000219225545055567,0.000194934730068967,0.000578101382411284
0.000110096716468467,0.000200786835349388,0.000293289514529023,0.000604173066346879
0.00060605714350678,0.00216862018523544,0.00197381855365789,0.00474849588240011
6.84802534923471e-05,9.82021852001068e-05,0.000189702698561311,0.000356385137253765
0.000415242355456324,0.00190530781458467,0.00197186707979436,0.00429241724983535
0.000287671697226766,0.000692911050752033,0.000710405082328015,0.00169098783030681
2.33868615933969e-05,3.46174430923525e-05,4.88271990953393e-05,0.000106831503781089
8.09471543889285e-06,1.70219569936382e-05,2.51942467379177e-05,5.03109191704487e-05
8.10632307430001e-06,1.18759910351951e-05,2.19322674529297e-05,4.19145815624249e-05
6.20697556063816e-06,9.13472463152391e-06,2.12992424871865e-05,3.66409426793486e-05
