potencia_x,potencia_y,potencia_z,potencia_total_xyz
9.59653294170252e-06,0.000324682647073406,0.00046856047850022,0.000802839658515328
6.65975090298772e-05,0.000107194622959093,0.000135951780852693,0.000309743912841663
2.59277707731256e-05,1.33951282446642e-05,2.97469174830311e-05,6.90698165008209e-05
7.81908776945696e-06,6.22690905744305e-06,1.32796922009554e-05,2.73256890278554e-05
3.27921527530827e-06,3.18691325200291e-06,9.37650501153735e-06,1.58426335388485e-05
1.269693934278e-05,9.38193846598036e-06,1.60856289941104e-05,3.81645068028708e-05
1.32968494555814e-05,7.03204213079896e-06,1.55979269766845e-05,3.59268185630648e-05
6.26557283325047e-06,4.21716686894581e-06,1.00360792193839e-05,2.05188189215801e-05
4.65822609174469e-06,3.64484583537336e-06,1.04979947865937e-05,1.88010667137118e-05
4.77668804779343e-06,3.50821733346805e-06,9.76085986236471e-06,1.80457652436262e-05
1.04057948538044e-05,8.60279400000466e-06,1.83892333516769e-05,3.73978222054859e-05
7.78001497031427e-06,4.47873440010592e-06,1.17412487769507e-05,2.39999981473709e-05
9.9114409063496e-06,5.25473614527301e-06,1.15666310092673e-05,2.67328080608899e-05
5.11481149020086e-06,4.32077872200779e-06,1.02593663042448e-05,1.96949565164535e-05
6.79925795401144e-06,5.51701425684201e-06,1.1286871299441e-05,2.36031435102944e-05
1.01549778843436e-05,5.87646174314989e-06,1.31155334699177e-05,2.91469730974112e-05
4.64221495328145e-06,3.21176194286306e-06,8.72232579364822e-06,1.65763026897927e-05
4.96786353710824e-06,3.70806095742523e-06,9.59374715780421e-06,1.82696716523377e-05
3.59092685426029e-06,3.11195716152955e-06,8.51001123985662e-06,1.52128952556465e-05
2.03977649227394e-05,9.57772801141781e-06,1.56688985714974e-05,4.56443915056545e-05
1.36196033671565e-05,6.74774368894431e-06,1.66272292561672e-05,3.69945763122681e-05
2.48993887949754e-05,1.02206443470967e-05,2.20499122220145e-05,5.71699453640866e-05
1.25129865002148e-05,7.83869924676145e-06,1.4807835256671e-05,3.51595210036473e-05
5.14999224592206e-06,3.45951148766305e-06,1.02338597335266e-05,1.88433634671118e-05
4.86364508410955e-06,3.35679014959904e-06,1.07159361886305e-05,1.89363714223391e-05
4.43231890348228e-06,3.28153531584909e-06,1.00909912977662e-05,1.78048455170976e-05
5.46167896340681e-06,3.38724388218807e-06,1.03013835808541e-05,1.91503064264489e-05
4.99502569948311e-06,3.23573370975374e-06,9.48530096348211e-06,1.7716060372719e-05
5.01760595546036e-06,3.46231586156683e-06,9.64632698644633e-06,1.81262488034735e-05
7.8838634480313e-06,7.42303954380835e-06,1.2969710560907e-05,2.82766135527466e-05
3.6333071537536e-05,2.98991266443199e-05,4.36737457189846e-05,0.00010990594390084
8.52473069336405e-06,5.76447518851279e-06,1.1731651370243e-05,2.60208572521198e-05
4.63501614160748e-06,3.75501081817817e-06,9.89985478329771e-06,1.82898817430834e-05
5.19256979659458e-06,4.3233431930844e-06,1.05555223849427e-05,2.00714353746217e-05
4.4804655035341e-06,4.05833044089999e-06,1.01142614340386e-05,1.86530573784727e-05
1.73572908085947e-05,1.04163298037605e-05,1.67765171483499e-05,4.45501377607051e-05
7.54361252141246e-06,6.28426872245869e-06,1.44317535300459e-05,2.8259634773917e-05
7.60046470401652e-06,6.33071844166717e-06,1.39579961980174e-05,2.78891793437011e-05
3.31971940584797e-06,2.96465904869804e-06,8.83267733281397e-06,1.511705578736e-05
3.16851067053048e-06,2.91028184006429e-06,8.72755046687407e-06,1.48063429774688e-05
3.38441825306013e-06,3.10206412381904e-06,8.5804059663227e-06,1.50668883432019e-05
3.4930752724672e-06,3.19834682306588e-06,9.20719582941724e-06,1.58986179249503e-05
3.38265710320552e-06,2.98272191555537e-06,8.7999684279165e-06,1.51653474466774e-05
3.21365690777806e-06,2.87766245118217e-06,9.19452222262905e-06,1.52858415815893e-05
3.23044890903385e-06,2.84990454802344e-06,8.91222841353521e-06,1.49925818705925e-05
3.22296135393704e-05,1.27071206596287e-05,2.17217185025402e-05,6.66584527015393e-05
1.57987190399643e-05,1.06318452444194e-05,1.74069197480969e-05,4.38374840324806e-05
6.27957063896454e-06,3.95468637880736e-06,1.06872706099528e-05,2.09215276277247e-05
1.05083668592378e-05,6.77498455082628e-06,1.36985561459199e-05,3.0981907555984e-05
5.25369388257797e-06,3.83514693383263e-06,1.02509704894334e-05,1.9339811305844e-05
3.58232610579512e-06,2.97564881285302e-06,8.4705726313598e-06,1.50285475500079e-05
1.3084842135564e-05,7.1110461957952e-06,1.02536328048448e-05,3.04495211362041e-05
1.61088289430879e-05,5.96724374489254e-06,1.11537325861776e-05,3.3229805274158e-05
8.26997112513504e-06,3.97731023963729e-06,9.60973454870498e-06,2.18570159134773e-05
1.0631093761256e-05,4.5421644713281e-06,9.73930492214482e-06,2.49125631547289e-05
9.76043064347376e-06,4.33353648116019e-06,1.13340661717944e-05,2.54280332964283e-05
5.61662968620119e-06,3.78744056565748e-06,9.19476898890864e-06,1.85988392407673e-05
6.63782278103355e-06,4.65098478629656e-06,1.09015405194446e-05,2.21903480867747e-05
1.34613336145289e-05,5.64313191821479e-06,1.024602248901e-05,2.93504880217537e-05
4.40977534753374e-06,3.54197751656247e-06,9.3181322028245e-06,1.72698850669207e-05
6.63297620542803e-06,4.12892769398165e-06,1.01262024254108e-05,2.08881063248204e-05
9.24539578198346e-06,4.8997238052217e-06,1.00228141151081e-05,2.41679337023132e-05
4.52319923228144e-06,3.9111030421177e-06,9.77207993634769e-06,1.82063822107468e-05
5.5848466556405e-06,4.25479465689539e-06,1.04996716049179e-05,2.03393129174538e-05
1.09882083559372e-05,5.49571322106302e-06,1.3393043064151e-05,2.98769646411512e-05
2.54793884451299e-05,1.45531647880101e-05,2.84733209362737e-05,6.85058741694137e-05
5.47258560921537e-06,3.53776166379668e-06,9.96007214420868e-06,1.89704194172207e-05
7.41969696972182e-06,4.7767450394816e-06,9.86639419737907e-06,2.20628362065825e-05
1.84568695256679e-05,1.31206010840739e-05,1.63378409059399e-05,4.79153115156817e-05
9.06272888007828e-06,4.54310463070219e-06,1.05338229267277e-05,2.41396564375082e-05
8.63053930765346e-06,4.33426927000518e-06,9.14535027929206e-06,2.21101588569507e-05
7.81570032501459e-06,4.9929649058065e-06,1.04269478841723e-05,2.32356131149934e-05
2.02840314394131e-05,8.85496266653779e-06,1.44272085834879e-05,4.35662026894389e-05
8.20338667174949e-06,6.73490439975009e-06,1.2869544941984e-05,2.78078360134836e-05
1.00754834229106e-05,4.24037578605625e-06,9.58625460819829e-06,2.39021138171651e-05
8.76370449254778e-06,4.42348238997156e-06,9.27163611285441e-06,2.24588229953737e-05
5.5682169286299e-06,3.58404872106118e-06,8.72209256383315e-06,1.78743582135242e-05
1.26689505677942e-05,5.21737682347442e-06,9.22597906538969e-06,2.71123064566583e-05
8.78877395006899e-06,4.21360543534865e-06,9.31749005703333e-06,2.2319869442451e-05
8.43831259737131e-06,4.60231144991501e-06,9.22218893981042e-06,2.22628129870967e-05
7.47306355458033e-06,4.17697596269568e-06,9.38997422668754e-06,2.10400137439635e-05
1.10269492813343e-05,4.45921846625274e-06,9.14662506157548e-06,2.46327928091625e-05
1.04470619154777e-05,5.67926283394265e-06,1.07821485063729e-05,2.69084732557932e-05
1.32865708025112e-05,5.77448629185977e-06,1.01314796041446e-05,2.91925366985155e-05
8.62510289400952e-06,4.72742543987227e-06,1.06633211733316e-05,2.40158495072134e-05
7.83926308899427e-06,4.1281722675164e-06,9.57933433301609e-06,2.15467696895268e-05
1.13363766351208e-05,5.39032798403201e-06,9.89123759093219e-06,2.6617942210085e-05
9.60180105728214e-06,5.04673118763078e-06,1.10372884734553e-05,2.56858207183683e-05
1.42314285041513e-05,6.60629568152955e-06,1.33566322181417e-05,3.41943564038226e-05
6.80672084070427e-06,3.92288772334889e-06,9.26435730443957e-06,1.99939658684927e-05
1.50795257264531e-05,6.98093430895979e-06,1.25317443216222e-05,3.45922043570351e-05
1.92539465995425e-05,9.93327226914156e-06,1.89986615293477e-05,4.81858803980318e-05
3.19659042892214e-05,2.20979082230761e-05,3.86054451361464e-05,9.26692576484439e-05
1.97632519263078e-05,1.57499964616152e-05,2.29872840488849e-05,5.8500532436808e-05
3.14492850750401e-05,3.71333773127336e-05,3.91575716279308e-05,0.000107740234015704
8.28454289115578e-06,1.25900630789141e-05,2.08321231250741e-05,4.1706729095144e-05
1.3715829517419e-05,1.11302045598632e-05,1.42617856477643e-05,3.91078197250465e-05
1.16515292029859e-05,1.75375940695773e-05,1.62088670397109e-05,4.53979903122741e-05
5.96667547791288e-06,7.44492511753604e-06,1.26748940327754e-05,2.60864946282243e-05
9.24340005360584e-06,7.11370226566752e-06,1.37703154920706e-05,3.01274178113439e-05
8.02808191864813e-06,6.08666797013572e-06,1.40855901022415e-05,2.82003399910253e-05
5.31637422840889e-06,3.96644943684983e-06,9.54505896958767e-06,1.88278826348464e-05
5.48267047913074e-06,3.73191141382989e-06,9.2475904192583e-06,1.84621723122189e-05
6.42655733991388e-06,5.10379677101058e-06,1.158122760394e-05,2.31115817148645e-05
1.58695947185192e-05,1.09708388647568e-05,1.43760927929752e-05,4.12165263762512e-05
9.50311737691507e-06,4.55219397395673e-06,1.01463587915103e-05,2.42016701423821e-05
6.04907531554197e-06,3.85710871052775e-06,9.15820540631689e-06,1.90643894323866e-05
