potencia_x,potencia_y,potencia_z,potencia_total_xyz
0.00024912517331314,0.000642728814470716,0.000592228803798657,0.00148408279158251
0.000392092712729048,0.000528447239276849,0.000435820024602181,0.00135635997660808
0.000171467208678945,0.000112307832778537,0.000144624972600913,0.000428400014058395
2.38443634178274e-05,1.28766590338437e-05,2.55934261155028e-05,6.23144485671739e-05
1.29572922376598e-05,8.12026383748494e-06,1.87380999809183e-05,3.9815656056063e-05
1.19603057109532e-05,7.54958800055677e-06,1.96945293415779e-05,3.92044230530879e-05
4.42084657540621e-06,3.55696523483946e-06,1.34498240987791e-05,2.14276359090247e-05
3.27359896411588e-06,2.80771255317068e-06,1.13372732072198e-05,1.74185847245064e-05
3.65708720030675e-06,3.01587979733149e-06,1.13563657946529e-05,1.80293327922912e-05
3.52468513995617e-06,3.58870780483376e-06,1.22658835996539e-05,1.93792765444439e-05
4.09103550406251e-06,3.40983261538794e-06,1.10099458770304e-05,1.85108139964809e-05
2.44187945926476e-05,1.36087151629068e-05,4.8538237042667e-05,8.65657467982213e-05
2.95330778448441e-05,2.63501738992846e-05,5.12791936140724e-05,0.000107162445358201
8.75589406642252e-06,5.35063694991522e-06,1.47316798935826e-05,2.88382109099204e-05
8.92967568978982e-06,7.43020544414836e-06,1.62660622280192e-05,3.26259433619574e-05
1.04071939946562e-05,8.49349527889951e-06,1.62839525219599e-05,3.51846417955156e-05
3.02981240655796e-06,2.69468580480668e-06,9.86767892592735e-06,1.5592177137292e-05
5.35094437023179e-06,5.19471184912205e-06,1.25528859237159e-05,2.30985421430698e-05
4.58584775400613e-06,3.81389446921288e-06,1.24536012199518e-05,2.08533434431708e-05
1.36352457135567e-05,6.24234389449344e-06,1.58595691003608e-05,3.57371587084109e-05
2.14971080860716e-05,1.30513686008833e-05,2.43204965762503e-05,5.88689732632053e-05
1.43721342650115e-05,8.79591505881018e-06,1.50458545610437e-05,3.82139038848654e-05
4.27967616849772e-06,3.26132051177818e-06,9.04863871753457e-06,1.65896353978105e-05
3.09489617559169e-06,2.60167603467146e-06,8.89342713971227e-06,1.45899993499754e-05
3.59921676506303e-06,3.26807270544297e-06,9.1351833392758e-06,1.60024728097818e-05
3.17375525438065e-06,2.89269159782221e-06,8.82596669397995e-06,1.48924135461828e-05
3.25857324816727e-06,2.65134718496097e-06,9.24090408040281e-06,1.51508245135311e-05
3.09169814606455e-06,2.68428592881619e-06,9.00076863841417e-06,1.47767527132949e-05
2.933880015977e-06,2.66878672912814e-06,9.10560741043955e-06,1.47082741555447e-05
3.139128637217e-06,2.67378395499983e-06,9.22180888151099e-06,1.50347214737278e-05
3.24206593061692e-06,2.72052610524361e-06,8.92059594112642e-06,1.4883187976987e-05
2.97783343533153e-06,2.63412794607443e-06,8.40509379090899e-06,1.4017055172315e-05
7.68735537827501e-05,4.15347688385904e-05,4.78159645243304e-05,0.000166224287145671
1.82658132141018e-05,2.1774938549479e-05,4.10314566241448e-05,8.10722083877256e-05
3.42322448589209e-06,2.68588047011862e-06,1.0567169708729e-05,1.66762746647397e-05
3.80161445242233e-06,3.42384767693269e-06,1.05395253254794e-05,1.77649874548344e-05
3.24661072174577e-06,2.63245386583575e-06,9.55611663414826e-06,1.54351812217298e-05
1.0058431790679e-05,1.28957786256602e-05,2.68360172054662e-05,4.97902276218055e-05
3.20320212347319e-06,2.60198551349179e-06,8.12443163320267e-06,1.39296192701676e-05
4.85639178600337e-06,3.17782635873287e-06,9.21645510416453e-06,1.72506732489008e-05
3.85226664905993e-06,3.24839993896884e-06,9.90027086295671e-06,1.70009374509855e-05
7.35927726149573e-06,4.54541557960529e-06,1.11232924257522e-05,2.30279852668532e-05
3.14309825742104e-06,2.55636375123301e-06,8.94586625264306e-06,1.46453282612971e-05
3.12895227183611e-06,2.64884464796135e-06,9.034228880296e-06,1.48120258000935e-05
3.15724252413268e-06,2.76776398436786e-06,9.24082370980522e-06,1.51658302183058e-05
3.07767716901665e-06,2.68725624648538e-06,8.94691033577327e-06,1.47118437512753e-05
2.84611613235752e-06,2.48123393931797e-06,8.35870350325383e-06,1.36860535749293e-05
3.55473574127644e-06,2.97379465960959e-06,8.87396616369227e-06,1.54024965645783e-05
4.2401823441932e-06,3.87492543587688e-06,1.01409617822225e-05,1.82560695622926e-05
9.78666333100894e-06,4.93272336195043e-06,1.26081683127354e-05,2.73275550056948e-05
4.92236025352503e-06,3.67104686239108e-06,1.06113229378189e-05,1.9204730053735e-05
5.37735679921617e-06,4.77113286608158e-06,1.04553699815668e-05,2.06038596468645e-05
7.69133786779393e-06,4.74674447859943e-06,1.01217431646036e-05,2.2559825510997e-05
3.55444117241005e-06,2.93785873052971e-06,9.58764137661636e-06,1.60799412795561e-05
3.37141308650483e-06,2.91995047304319e-06,9.12476271247054e-06,1.54161262720186e-05
3.28812360222605e-06,2.79641114859957e-06,9.12261045410319e-06,1.52071452049288e-05
3.36971789846353e-06,3.01393309705221e-06,9.30193481678495e-06,1.56855858123007e-05
3.35821217571337e-06,2.89331830392766e-06,9.44875870820446e-06,1.57002891878455e-05
3.68908619104184e-06,2.98436649820115e-06,9.90117748440676e-06,1.65746301736498e-05
3.65586487091224e-06,3.38590750534008e-06,9.69737405853009e-06,1.67391464347824e-05
3.84554064140379e-06,3.19946172612499e-06,9.80976941996918e-06,1.6854771787498e-05
5.21063408190931e-06,3.65298256853398e-06,1.12091477707262e-05,2.00727644211695e-05
5.46673288547174e-06,3.45164492267194e-06,1.02216341810953e-05,1.9140011989239e-05
7.64778934331924e-06,6.7220658115702e-06,1.33833131007107e-05,2.77531682556001e-05
5.54608736567888e-06,4.18482272803047e-06,1.08110436638669e-05,2.05419537575762e-05
7.49531804342959e-06,5.47214995443908e-06,1.1910525681201e-05,2.48779936790697e-05
4.51644541830684e-06,4.62087081342319e-06,1.02658585636825e-05,1.94031747954125e-05
5.05972166377294e-06,4.64677994697112e-06,1.03684582819554e-05,2.00749598926995e-05
4.6433266627143e-06,3.82109265182843e-06,1.13280013806719e-05,1.97924206952146e-05
9.21363261308147e-06,5.88277496944315e-06,1.38489301445676e-05,2.89453377270922e-05
3.78932566040084e-06,3.83840567425703e-06,1.02615066765651e-05,1.7889238011223e-05
3.27841081087558e-06,3.11138510519613e-06,8.74390457968764e-06,1.51337004957593e-05
5.37524195585967e-06,4.26433484180439e-06,1.03634444750418e-05,2.00030212727059e-05
3.83637772416088e-06,3.42497605285306e-06,1.00441816198677e-05,1.73055353968816e-05
3.59491407097715e-06,3.49301819230471e-06,9.49824279185673e-06,1.65861750551386e-05
3.66809848195457e-06,3.54982200796759e-06,9.03985938994058e-06,1.62577798798627e-05
4.06040517249325e-06,4.05194681489402e-06,9.96250874495195e-06,1.80748607323392e-05
2.01185563542275e-05,5.56227006850431e-05,9.10520662894394e-05,0.00016679332332871
4.22996442425883e-06,3.75301929872524e-06,1.16291868164066e-05,1.96121705393906e-05
4.17235879202247e-06,3.63198189029459e-06,1.06185134803091e-05,1.84228541626262e-05
3.83607528081957e-06,3.33586069232965e-06,1.1827050985165e-05,1.89989869583143e-05
7.85444423502634e-06,5.31076796094603e-06,1.2251614971802e-05,2.54168271677744e-05
4.8455983200266e-06,3.86775303674884e-06,1.20651424642213e-05,2.07784938209967e-05
4.5183006366552e-06,3.70857121449582e-06,9.72203801575018e-06,1.79489098669012e-05
6.2579097729525e-06,5.89769086082906e-06,1.08919688418265e-05,2.30475694756081e-05
9.50707227587645e-06,5.94473652526908e-06,1.40572667445008e-05,2.95090755456463e-05
5.02561011175082e-06,3.96841655355749e-06,1.04711494577305e-05,1.94651761230388e-05
9.66390573038874e-06,5.61817770424128e-06,1.58142702243593e-05,3.10963536589893e-05
7.57073468593845e-06,5.70876426593462e-06,1.18190429130169e-05,2.509854186489e-05
3.80401048926222e-06,2.75540491543424e-06,8.9659584954425e-06,1.5525373900139e-05
4.4137939030409e-06,3.31820129561846e-06,9.63338416554448e-06,1.73653793642038e-05
3.64413577527217e-06,3.06274774069491e-06,9.34302683506292e-06,1.604991035103e-05
3.89017085764459e-06,3.11223557582642e-06,9.44551409341939e-06,1.64479205268904e-05
3.88462876369717e-06,3.08734037739734e-06,9.40985077961655e-06,1.63818199207111e-05
3.729745226628e-06,3.15024847731428e-06,9.19629682560438e-06,1.60762905295467e-05
3.73761381057095e-06,3.35045378247752e-06,9.66480376494111e-06,1.67528713579896e-05
3.9802626104794e-06,3.03312078917658e-06,9.24582708973703e-06,1.6259210489393e-05
7.72344383008342e-06,5.19396664256057e-06,1.20184055479537e-05,2.49358160205977e-05
8.33437101162111e-06,7.27622107892595e-06,1.53645230492195e-05,3.09751151397666e-05
6.79471089163778e-06,4.43179424472886e-06,1.15523729895823e-05,2.2778878125949e-05
5.26935452185895e-06,4.2522620497474e-06,1.13381645262133e-05,2.08597810978196e-05
6.67541391715321e-06,4.84697903788663e-06,1.1852580089869e-05,2.33749730449088e-05
9.52179857040806e-06,6.53098622397165e-06,1.47335407976985e-05,3.07863255920782e-05
4.79220551156644e-06,4.30252854986921e-06,1.07535713485533e-05,1.9848305409989e-05
