corr_X,corr_Y,corr_Z,corr_XYZ
-0.273887354990256,-0.255370428124661,-0.286623040545787,-0.286185698072066
-0.0571272320671393,-0.223950220391452,-0.221753823882209,-0.162557448003646
-0.445745321649987,-0.292822605321794,-0.384107086876576,-0.354276702409748
-0.304456959162554,-0.292898591966699,-0.263341666540723,-0.292303466695196
-0.4540062532174,-0.403689147513842,-0.388996291800362,-0.411549123073189
-0.503739456018079,-0.479242008194565,-0.467140041448873,-0.483097283513372
-0.594801685505202,-0.455024415923233,-0.476627033406206,-0.499152523306091
-0.449815364802457,-0.371235015974471,-0.340145953476456,-0.39069582264221
-0.543006525229121,-0.47941565094156,-0.449595406382113,-0.482077460145971
-0.507811533736674,-0.399721541278643,-0.388696538843744,-0.414807412702695
-0.397191097471461,-0.31680874676749,-0.335255716611579,-0.358575646704211
-0.263818516328439,-0.193975122489582,-0.198355592305457,-0.211858789073733
