potencia_x,potencia_y,potencia_z,potencia_total_xyz
2.8476585643211e-05,0.000302740067577585,0.000184646890638655,0.000515863543859451
4.24269336767902e-05,1.86189917215142e-05,3.43485847371603e-05,9.53945101354646e-05
5.14631556757227e-05,3.32125538008198e-05,5.28257967607327e-05,0.000137501506237275
2.4960176525195e-05,1.92896327872696e-05,3.41194493059129e-05,7.83692586183776e-05
2.06178375752569e-05,1.7511697164601e-05,2.948783691656e-05,6.7617371656418e-05
8.12507101386904e-05,3.95801163133214e-05,4.54158484194156e-05,0.000166246674871427
3.86745461380236e-05,3.53107229745115e-05,5.05243361697396e-05,0.000124509605282275
2.23218319848042e-05,1.38426447804968e-05,2.21610888810172e-05,5.83255656463182e-05
0.000100150559637633,0.000141014072868218,0.000170049802169681,0.000411214434675532
0.000198517673103286,0.000223015194308267,0.0001699687936611,0.000591501661072654
0.000110649756045529,7.65402694694782e-05,6.99251669576675e-05,0.000257115192472674
0.000110514803710563,8.28520132049441e-05,7.79284926715968e-05,0.000271295309587104
0.000174224884968366,0.000223879074737156,0.000207128722585647,0.000605232682291169
0.000178446267030044,0.000269696985433379,0.000175423557534719,0.000623566809998142
0.000238922731003722,0.000168983261829116,0.000168507833736039,0.000576413826568877
0.000140119955030507,0.00017859307668364,0.000145022204910787,0.000463735236624933
7.99912570990773e-06,4.28654743047988e-06,1.7648445118845e-05,2.99341182592326e-05
0.000113222203327187,0.000114414896109768,0.000453339072148851,0.000680976171585807
0.000156503040999039,0.000327101603728179,0.000156151732524914,0.000639756377252133
0.000174990060226782,0.000126346468191824,0.000151936051966208,0.000453272580384814
0.000437109394114095,0.00107006521300889,0.000597135654783463,0.00210431026190645
0.000323975354823651,0.000705133687427649,0.000305646364556572,0.00133475540680787
0.000199740923563582,0.000455975815002558,0.000227487476422507,0.000883204214988647
2.75438373758449e-05,1.60848469184589e-05,4.25059529022257e-05,8.61346371965295e-05
5.05076401160345e-05,5.61324365531749e-05,5.37545129083873e-05,0.000160394589577597
0.000118556174790262,6.05680346171331e-05,7.84360104704445e-05,0.00025756021987784
0.000434983600575236,0.00164734164354342,0.000612548415793024,0.00269487365991168
0.000155355496961813,0.000465093027306357,0.000233691093674975,0.000854139617943145
3.2340416310278e-05,1.54171608255796e-05,3.11838140412649e-05,7.89413911771225e-05
4.13475033855665e-05,8.19088782177011e-05,6.22091238784672e-05,0.000185465505481735
1.33241770855268e-05,2.51226937853468e-05,2.57834137930512e-05,6.42302846639247e-05
1.92589953791984e-05,5.23391853148134e-05,3.53164046542852e-05,0.000106914585348297
4.22863522936935e-06,3.07653031704768e-06,1.20245793560624e-05,1.93297449024794e-05
3.75039829654004e-06,2.85620534428294e-06,1.02610814167485e-05,1.68676850575715e-05
3.96423875734572e-06,2.70489067304713e-06,1.08425765283041e-05,1.7511705958697e-05
4.03761241382257e-06,3.10629055915886e-06,1.07321054953691e-05,1.78760084683506e-05
4.9273036315084e-06,3.47144463643014e-06,1.10591292388845e-05,1.9457877506823e-05
4.30086032683214e-06,3.03702707414748e-06,1.05643195986289e-05,1.79022069996085e-05
4.2509788589594e-06,3.0948446101315e-06,9.93584194596383e-06,1.72816654150547e-05
7.15535287361502e-06,2.14838615082071e-05,1.43801175605819e-05,4.30193319424041e-05
9.71533689011558e-05,0.00031378732075923,0.000206376994949867,0.000617317684610252
2.93632549215648e-05,0.000126079387913709,7.13044898495262e-05,0.0002267471326848
3.11091990630607e-05,0.000100866933463975,6.03529933990433e-05,0.000192329125926079
2.3771651788378e-05,1.99383323313731e-05,2.94428550667379e-05,7.3152839186489e-05
0.000101238435124475,0.000242121501026931,0.000128648304238151,0.000472008240389557
1.29646859072586e-05,1.01328320579126e-05,1.89758511038036e-05,4.20733690689748e-05
6.44369276686133e-05,0.000117040818032639,8.37519663289159e-05,0.000265229712030168
3.91151165589161e-05,8.98742054597657e-05,4.90386154159838e-05,0.000178027937434666
4.57049873623177e-05,4.58622333359669e-05,4.11730734452411e-05,0.000132740294143526
7.81988361233671e-05,0.000138754766843494,9.01822466387018e-05,0.000307135849605563
0.000285759223714451,0.00103787716815771,0.000440210806704111,0.00176384719857627
0.000539540222473203,0.00176671290602514,0.000776714639375631,0.00308296776787398
0.000880463488249858,0.0021901350698507,0.00179683776236476,0.00486743632046532
0.0002364837766627,0.000741068977830572,0.000340184794583626,0.0013177375490769
1.67141771199254e-05,6.69553473799735e-06,2.35265761435458e-05,4.69362880014685e-05
2.49997610485139e-05,9.42631016740665e-06,2.80227852103759e-05,6.24488564262965e-05
0.000609058732426944,0.00221584990374634,0.00102525773900009,0.00385016637517337
0.000251666659185924,0.000550251579785849,0.00039781244730577,0.00119973068627754
0.000264318551571178,0.000584454105114697,0.000321368518648,0.00117014117533387
3.086109416568e-05,1.64725485083306e-05,3.11301409312244e-05,7.8463783605235e-05
5.15695761022493e-05,3.19215175720188e-05,5.85266335245048e-05,0.000142017727198773
6.15533377192097e-06,5.73616872425864e-06,1.70056296460593e-05,2.88971321422389e-05
3.81680020208642e-06,3.14949427837896e-06,9.94191725831724e-06,1.69082117387826e-05
5.41759452355396e-06,5.56091663397704e-06,1.48748119992837e-05,2.58533231568147e-05
1.2082324529969e-05,1.0091431257639e-05,1.78990523092919e-05,4.00728080969e-05
3.5668704269168e-06,2.89578023916343e-06,9.55947976925529e-06,1.60221304353355e-05
8.63702451753275e-06,6.17863493145773e-06,1.3255035308995e-05,2.80706947579855e-05
6.50747286845321e-06,3.90254723299504e-06,1.08208212624142e-05,2.12308413638625e-05
9.17755293352988e-06,8.58253661167179e-06,1.38453462837027e-05,3.16054358289044e-05
5.17086863062348e-06,4.46437637571394e-06,1.14889969583037e-05,2.11242419646411e-05
9.04797759002925e-06,4.83475953012442e-06,1.45537091981496e-05,2.84364463183032e-05
2.04274870984396e-05,9.21218221139616e-06,2.01440436926334e-05,4.97837130024692e-05
5.95334780601425e-06,4.34923547891369e-06,1.26771344205665e-05,2.29797177054944e-05
8.20858101746408e-06,8.12658625356857e-06,1.92643901515803e-05,3.5599557422613e-05
9.20885713144415e-06,8.83385818985555e-06,1.74447141715833e-05,3.5487429492883e-05
1.0362523782468e-05,1.63969129278506e-05,1.58260796494941e-05,4.25855163598127e-05
8.25405703967382e-06,7.787611855289e-06,1.36899923556566e-05,2.97316612506194e-05
3.52678832185198e-06,2.75771533398611e-06,8.64162392848753e-06,1.49261275843256e-05
3.5569746525231e-06,2.99758954103185e-06,8.75915470369452e-06,1.53137188972495e-05
3.70592426665111e-06,3.06553879442337e-06,9.00123798387855e-06,1.5772701044953e-05
3.68364062447272e-06,2.9846311808598e-06,9.24081085272736e-06,1.59090826580599e-05
3.84020765951734e-06,3.08143411765433e-06,8.91188782965959e-06,1.58335296068313e-05
3.6370851264302e-06,3.08523648566846e-06,8.86402143233419e-06,1.55863430444328e-05
8.32401159669328e-06,6.34372723420757e-06,1.21568299881329e-05,2.68245688190338e-05
8.70843222498268e-06,6.10417179359229e-06,1.41342894141526e-05,2.89468934327276e-05
4.67285193000559e-06,3.79625224793115e-06,9.86695648478655e-06,1.83360606627233e-05
4.2342108077708e-06,3.73373477409513e-06,1.04441955011294e-05,1.84121410829953e-05
4.83757377229646e-06,3.77412556277228e-06,1.06375072235301e-05,1.92492065585988e-05
7.40410451027109e-06,7.15756166867901e-06,1.5200664650788e-05,2.97623308297381e-05
3.89043147275508e-06,3.48171880743792e-06,1.01225988882456e-05,1.74947491684386e-05
3.72993939904232e-06,3.194034004215e-06,9.4409276408025e-06,1.63649010440598e-05
4.60382307311113e-06,3.41235341642312e-06,1.01351672016775e-05,1.81513436912117e-05
3.72504123007048e-06,3.13645836000958e-06,9.69102479935765e-06,1.65525243894377e-05
3.54639699311481e-06,2.95461681913849e-06,8.7213228053317e-06,1.5222336617585e-05
3.51886395655367e-06,3.08856421210576e-06,9.32656833801015e-06,1.59339965066696e-05
3.70732427874298e-06,3.02626328143831e-06,8.57182753351379e-06,1.53054150936951e-05
3.56239132983326e-06,2.97473320773591e-06,8.88656417771786e-06,1.5423688715287e-05
5.10424954128789e-06,4.23058584960311e-06,1.06360489418445e-05,1.99708843327355e-05
4.82864523058221e-06,3.65364971677044e-06,9.94045403816929e-06,1.84227489855219e-05
3.64043098601455e-06,3.08224483016648e-06,8.86590393669155e-06,1.55885797528726e-05
4.69331679517257e-06,3.6961999121442e-06,9.79581960764338e-06,1.81853363149602e-05
4.47451117467879e-06,4.39814485136506e-06,9.88639356550902e-06,1.87590495915529e-05
8.37918944865184e-06,7.4772884111925e-06,1.24605027738945e-05,2.83169806337389e-05
3.88261674525413e-06,3.19808448993137e-06,9.04628385305482e-06,1.61269850882403e-05
3.67121384401837e-06,3.07134122397181e-06,8.99617242618462e-06,1.57387274941748e-05
3.71772792618063e-06,3.03103741162527e-06,8.56028231033928e-06,1.53090476481452e-05
7.79135190130069e-06,7.37745708286171e-06,1.65154128764905e-05,3.16842218606529e-05
3.57907201342264e-06,2.93078218530117e-06,8.84059467302747e-06,1.53504488717513e-05
3.69515150389287e-06,3.1612418688946e-06,8.85793851522256e-06,1.571433188801e-05
5.19262119775717e-06,4.12099418127693e-06,1.01467108123465e-05,1.94603261913806e-05
4.68578803917854e-06,4.05320099648731e-06,1.03495572258743e-05,1.90885462615402e-05
3.85808813690026e-06,3.0066860581601e-06,9.35750472906912e-06,1.62222789241295e-05
3.86178267747538e-06,3.06259673941808e-06,9.09267942620375e-06,1.60170588430972e-05
3.60273002555522e-06,2.93695071220179e-06,8.78771095559417e-06,1.53273916933512e-05
3.72993406011485e-06,3.10131684779306e-06,9.10110694855795e-06,1.59323578564659e-05
4.66529635455403e-06,3.35588906645401e-06,9.96282687110165e-06,1.79840122921097e-05
5.65262099187692e-06,3.71188040757127e-06,1.08360662354513e-05,2.02005676348995e-05
3.378760006626e-06,2.95250218839535e-06,8.81256761866982e-06,1.51438298136912e-05
3.61874156142426e-06,2.90374327894328e-06,8.85853752379573e-06,1.53810223641633e-05
8.76073513942441e-06,9.35678290309323e-06,1.24544839919234e-05,3.0572002034441e-05
3.83907180701166e-06,3.06628302303434e-06,9.06630229642207e-06,1.59716571264681e-05
3.67440099840466e-06,3.12362034232913e-06,8.59819247148178e-06,1.53962138122156e-05
3.98676586116314e-06,2.98970750350787e-06,9.43714119413135e-06,1.64136145588024e-05
3.83455228821089e-06,2.9161735658313e-06,9.03819977063511e-06,1.57889256246773e-05
3.81144411956831e-06,3.16298892995272e-06,9.5109086750154e-06,1.64853417245364e-05
4.72361754851762e-06,3.28227310190836e-06,1.06688899365699e-05,1.86747805869959e-05
4.16623966837167e-06,3.50398193612982e-06,9.72706105997591e-06,1.73972826644774e-05
7.42146547024838e-06,3.89530028287954e-06,1.16204144543078e-05,2.29371802074357e-05
4.75992025452272e-06,4.89826401776552e-06,1.0988747829986e-05,2.06469321022742e-05
3.65342984900715e-06,2.9299803767065e-06,8.63809548271137e-06,1.5221505708425e-05
3.5650282340677e-06,3.25850951894017e-06,8.29578429441943e-06,1.51193220474273e-05
3.77957076810564e-06,3.31192782384171e-06,8.70423351834301e-06,1.57957321102904e-05
3.59412657455427e-06,2.80615984984261e-06,8.39173025219889e-06,1.47920166765958e-05
3.55626387293738e-06,2.81484201175519e-06,8.28571091355967e-06,1.46568167982522e-05
3.51572798901181e-06,2.83448191937002e-06,8.37134687164163e-06,1.47215567800235e-05
3.41135648875526e-06,2.78308814123574e-06,8.20569701409494e-06,1.44001416440859e-05
3.84294870020995e-06,3.03830519025007e-06,8.9208824557288e-06,1.58021363461888e-05
3.7274066678012e-06,3.03401429017118e-06,9.03352030090268e-06,1.57949412588751e-05
3.58486295599527e-06,2.99284881999246e-06,8.6702013649145e-06,1.52479131409022e-05
3.60196711066065e-06,2.76067688820188e-06,8.82997059268695e-06,1.51926145915495e-05
3.78047027972865e-06,2.92270208138537e-06,8.91041491308788e-06,1.56135872742019e-05
6.70990475828779e-06,4.69282626603501e-06,1.32832848367837e-05,2.46860158611065e-05
5.10022190174811e-06,3.56170816547567e-06,1.07560820482146e-05,1.94180121154384e-05
3.47669326929711e-06,2.91729893570039e-06,8.49770529485757e-06,1.48916974998551e-05
3.65671688942271e-06,2.80817467329313e-06,9.10679733689277e-06,1.55716888996086e-05
3.86296887682461e-06,3.23935562645825e-06,9.93079998225719e-06,1.70331244855401e-05
3.54997371191561e-06,2.9587787522899e-06,8.68828983396561e-06,1.51970422981711e-05
3.5975644686956e-06,2.86935981113446e-06,8.74358723422831e-06,1.52105115140584e-05
3.57199010902309e-06,3.04265331723873e-06,8.83240260276579e-06,1.54470460290276e-05
3.88032388375783e-06,3.14136279933553e-06,9.23434236551181e-06,1.62560290486052e-05
4.19019060162973e-06,3.28654996372093e-06,9.2590354709094e-06,1.67357760362601e-05
1.39000265369048e-05,1.37549187692321e-05,2.37280235402485e-05,5.13829688463854e-05
4.707300096558e-06,3.62017624023235e-06,1.0320686532143e-05,1.86481628689334e-05
3.80871896247988e-06,3.01754939542693e-06,9.31594071579001e-06,1.61422090736968e-05
3.73270513737843e-06,3.0113620750442e-06,8.57014827305026e-06,1.53142154854729e-05
3.92132242686507e-06,3.00837547556579e-06,9.0614224064585e-06,1.59911203088894e-05
3.70956387427184e-06,2.94784943615706e-06,8.98512771643509e-06,1.5642541026864e-05
3.56945244111861e-06,2.88318669044804e-06,9.08872432126773e-06,1.55413634528344e-05
3.46979970945619e-06,2.78149006793151e-06,8.72878030167758e-06,1.49800700790653e-05
4.00332989692502e-06,3.02380971143104e-06,9.14559351524556e-06,1.61727331236016e-05
3.68093601174589e-06,2.95301704260097e-06,8.84067581244723e-06,1.54746288667941e-05
3.73750422288899e-06,2.83852808582659e-06,8.75948599954706e-06,1.53355183082626e-05
3.36689858383647e-06,2.87480300464587e-06,8.91334725203311e-06,1.51550488405154e-05
3.67435260272789e-06,2.93538839474595e-06,8.47759087786581e-06,1.50873318753397e-05
1.21562783560445e-05,1.90800946096693e-05,2.86380336446287e-05,5.98744066103425e-05
7.82451229763375e-06,4.95085419845771e-06,1.18352361254812e-05,2.46106026215727e-05
8.34739775913078e-06,7.17179505816618e-06,1.37554651936252e-05,2.92746580109221e-05
6.10567257039184e-06,4.40472645457325e-06,1.02098096767475e-05,2.07202087017126e-05
4.19600973225694e-06,3.74590506288685e-06,9.34957896436754e-06,1.72914937595113e-05
9.05934373645731e-06,1.07512774996944e-05,1.59771413917786e-05,3.57877626279304e-05
8.0285372662638e-06,5.89853255991102e-06,1.15088943245096e-05,2.54359641506844e-05
7.61596800895006e-06,8.90012228978185e-06,1.30614664822305e-05,2.95775567809624e-05
5.34981584209929e-06,4.26657071632126e-06,1.05978691827123e-05,2.02142557411329e-05
6.22785554658707e-06,5.02363326269507e-06,1.33646750495642e-05,2.46161638588463e-05
3.81670346966309e-06,3.25094816163947e-06,9.39421569469995e-06,1.64618673260025e-05
7.03996153159271e-06,4.80960252959751e-06,1.22064688666556e-05,2.40560329278458e-05
5.55361231078137e-06,4.03242207831878e-06,1.01775500913493e-05,1.97635844804495e-05
5.59039395813332e-06,5.94274578306057e-06,1.22166340003226e-05,2.37497737415165e-05
4.18434356653375e-06,3.97188577734376e-06,9.47915238516788e-06,1.76353817290454e-05
4.63193245733986e-06,3.18877593552852e-06,9.60352031226347e-06,1.74242287051319e-05
4.63128107130978e-06,3.40161422550628e-06,9.63902521090372e-06,1.76719205077198e-05
4.19724587926156e-06,3.20702675111326e-06,9.00407784273721e-06,1.6408350473112e-05
4.03699778432646e-06,3.19522126158438e-06,1.02431625755367e-05,1.74753816214475e-05
4.63249041445506e-06,3.5416609100353e-06,9.44818089388746e-06,1.76223322183778e-05
4.51537494067713e-06,3.40673718969566e-06,9.46299562481392e-06,1.73851077551867e-05
5.86425745639785e-06,5.74389305981421e-06,1.12804207293578e-05,2.28885712455699e-05
3.8692330798501e-06,2.85251773220233e-06,9.23369471299069e-06,1.59554455250431e-05
